first_seg	second_seg
In 09 I was purposely sending chicks off cuz I knew	I was doing 2 much...
Man I hate I got involved with these women I choose to b a mother of my kids there selfish and bitter! Not at first	but ya it came out!
he just don't get it! That cockiness is what made it hard for him to stick in league	(aside from lack of defense)
"Its 30+ chicks in Houston right now dats finally ""getting it"" in they head dat"	they aint got it anymore...
I guess I will get a hair cut 2morrow...I'm the worse in	the winter time with this.
So Rich Dollaz is a Nupe huh? Yall just gimme way 2	much ammo for greek slander...
Got 4 choppas no 9's out I'm recess you timeout I'm playing wit it you fouled out be snapping one of	my fave rappers no lie
den if he do cook he ghey? See no win...they confused B. They	single cuz they Damaged Goods.
"U eva seen some ish someone Stunting on, on these internets and u think 2 ur self ""dats not fancy tho.."""	? I guess imma hater.
Damn who runs to there ex mate everytime sumthin goes wrong in yo current relationship	where they do dat at
Im living and learning life is full of life lessons and i will neva go down this rode again being a good	nigga gets me no where
that would fall into HIS problem..I'm more so wondering why woman view it so	negativity...other than Pictures look funny
Idk why her lil ass think she so big and bad.. But I'll cut you	back down to size baby
maaaan imma order dat shitfor ONE wkend den call back and say	I didn't like it lol
you right though lol.. Niggas think the Vikings sweet! It was a good game	and Romo did his thing
as in Weight??? Sheeeid dats my old playing weight. And apparently I	"was ""cracked out"" den lol"
in order for a female to get the respect moms get.. She would have to be the most loyal female	in the world these bitches...
lie cuz it get best results (his goal). If it was cut and dry bout sex it	would go into man favor...
"but if a guy playing the ""we can be in a rs"" game he dead wrong if his"	intentions is just to hit..but...
As I watch younger bruhz I notice the trend with the 90s bruhz and I see where	the trend stopped with us...
I always expect the worst and hope for the best.. The easiest	way to NOT be disappointed
dats some foogazy ish team! I see dem Zillow emails to...its	only pockets of the city.
fyi dat doesn't motivate me...My normal gene pool makes me naturally fit...you lil niggaz	have to work for it.
I have a FB friend dat shall remain nameless that posts pictures of things	"she ""wish"" she could get...TT"
I don't never feel no type of way because I'm an asshole..	That's just in my nature
Liquor all on my breath.. Bitches all in my sight! Real niggas tryna	fuck.. Fuck niggas wanna fight
I totally knew the value of friendship before I was the bruhz tho...just	didn't have words for it.
"She said ""You bout to miss church."" while she riding me. I said I like my sundae's"	with a cherry on top!
"That moment a guy moves into a chicks house and 1st time he says ""My"	"crib"" makes me laugh everytime."
Can't get the job they WANT due to criminal and drug checks...don't have the perseverance to	get the jobs dats available.
"Im let my baby sleep , she looks so peaceful but if it was the other way around"	she wouldn't let me sleep
"When I'm riding down the avenue.. These bitches give me attitude, they screaming"	Charles we mad at you!
The only reason I don't like doing the dinning area is cause I hate	dealing with drunk ass customers
Idk how much I could take no more.. I give you all I got	til it ain't no more!
you get less playtime than steve novak n shoot like Shaun marion. Wit	no handles like Tyson chandler
I got on 2 chains.. But I ain't Tity Boi! Imma dream chaser but	I ain't from Philly boy
"These bitches get around. Even the ones you swore didn't, they do too.""Can't"	put sht past these hoes
But fuck it 2 can play that game.. But I think	I would play it better
"I hate that cancer shit.. I'm not sensitive, I just be"	in my feelings a lot
"It's an interesting point. Why do they stop the game for a semi-blavkout (that wad still very well lit), but nit"	the fog bowl or snow?
Which one of y'all.. which one of y'all? Which one of	y'all going home with Moody?!
"no, but i've always liked the phrase ""fake it till you make it"". There's"	gotta be a middle ground.
I was the opposite. I got 3 episodes in before I realized the gitls apt	was outside dionysus. Good show.
I went to go run and went right back inside. Not because of	the rain but the wind.
"Hi my Tweety Birds, Nazarene mbc Youth were Awesome last nite at there midnite musical,Go ya'll"	&God bless u:-) :-) :-)
If You Go See That Movie Snitch With The Roc In	It You A MF SNITCH!!!!!!!
* mfs talmbout they about to pull an allnighter knowing they finna be	sleep in 10 minutes .
Anybody who did is a bitch nigga for being fake tell	em I said that lls
I RIDE FOR ANY NIGGAH I CALL BEST FRIEND . BRUDDA . DIARY . OTHA HALF . ETC . IF U AINT ONE OF DEM I THINK U NEED TO GET	ON MY TEAM ASAP RNS
I hope she screenshot everything because like I said I was	just playing the role
"Why do black people think you'll remember a person if they say a name twice? ""You remember"	"Johnny?"" ""No just black people"
Soo bob are you with that shit? Lls! You fuck with Boney back ass Iesha before	you fuck with me? Respect
I wanna lick you from your head to your toes but I'm lying I hate feet so I'll lick from	your head to you know
"Had to get up and go to Church, gotta get all the sinning"	from last night off lol
Omg we had them beat an we let them come back	like this come on ravens
really?... You dick sucking like that? Smh and I bet you still ain't get that	retweet you was craving for.
I seen that bitch a handful of times how she know hoe	I dress for real? Lls
yeah last year they have to drill up my nose and I will have	black eyes and shit smh
Every real nigga know if you tryna fuck a girl.. You gon do what you	gotta do to fuck her
One day I was babysitting my Lil cousin and Jason was playing tug of war with her... She	was stronger than he expected.....
Just scene a nigga with a cardboard license plate not even in the window	just straight in the car
Taking vitamins to be natural.. Obviously it's not natural if you	taking vitamins to get it
Today only everything half off COVER GRAPHICS.. PROMOTIONS ..STUDIO TIME .. For Pricing In Your	DM Let's Make This Bread
Happy rushing to the liquor store the day before all your family shows up for thanksgiving so you can make it	through the day day :-D
The Birds get the W! Now let's see if we can do the same at home	with the next three games.
White lady was straight leanin on the black postal lady smh thought	I had to record it
"at this rec looking for food n sips"" I wish I"	could come out for sips
I'm sippin now n my boo cookin so I will tell u about	SVU go have fun boo
It amazes me how ppl won't even have a twitter but will	know everything that's going on!
"Donte biggy smalls Chian faith Evans and I'm lil Kim """	Lil Kim got betta pussy
My day going the opposite way I just jumped out the	"car with it in drive"""
"big ones too"" so u think u better then me huh! I'm"	come through shining on y'all
If you get to feeling stressed up in your chest thinking you	about to lose! It's true
If I don't like you then that's says a lot about you! Cause	I get alone with everybody
no u should only need a wash & style and it should be	much! Do u like it?
"I wanna try a caramel frappe so bad, scared imma be addicted too"" yess"	gawd!! They are the devil
If you think I caught a feelin' when I heard about that other chick	I already knew about it!
I just needed time just to clear my mind and ask myself	Why I didnt handle him?
"Y are social network niggaz so messy lol "" they old"	clowns with something to prove
These females owe us no loyalty unless we kno them other then that it's	YOUR MAN THATS WRONG Right
"Well my boyfriend girlfriend has been takin him away from me ""no minessss"	"her lil ugly ass """
"Mike just bit me in the face, he acting real goofy""o yea tell him come get his son """	ard he said he coming
"Am I the only 1 that wants to see the hunger games""no"	"I do"" it looks good"
I don't like carrying umbrellas I rather just ... But this rain cold !	"out there !"" Yes gawd"
"That Rain In Da Fuccin Way"" yes it is"" I Just Wish It Stop"""	u ain't the only 1
"You didn't even holla at a real nigga ....dfl"" I know mannn a lil busy !! Lol"	I'm come pass tomar though!
"I really don't know how to lie"" I always get caught up or tell on myself"""	man I'm working on it
"I just want to say that if something happens to me, know that my life has been"	threatened several times this month.
"he has all his weapons now, the bye week is over. TB12"	and also the pats D.
just saw a Andre Williams highlight from different game. How is he different from his	contemporaries? Please school me sir.
"y'all fuckers put everything on twitter , you taking yo last breathes updating a tweet saying"	r.i.p to me y'all 
"You Eat Dicks For A Living, Talking Bout Don't Drink Out"	My Bottle Cant Zeal
If the nigga dnt want u he dnt want u changing his number to another phone to talk to his other bitches still means	he dnt want u! dumbass
"I'm not check my TL no more, y'all talk about some of the dumbest"	stuff and everybody DEEP THINKERS
"I always been the same ! I never changed .. People love me for it , and others stopped messing with me because it either"	way ! Truth was me
"Crazy how amazing the power of the Black man is!!"". You should try being a white"	man! Its freaking amazing!!!! Lmfao!
"wtf yo, i just fucked my leg up in a bus accident.. stupid ass"	"driver ""sue them niggas bro"
Could we be looking at a new Champion. The title would look	good on Big Shows shoulder.
goes country.. I can't wait to see what kind of outfit santino	and khali will appear in.
So Goldberg jr. Has a challenge for anyone on the roster can wait to	see who accepts the challenge
MerrillHood Nigga Ah Bitch Cant Get the Rest Of Me Acky Nd The kitchen Ad He	Flipping Up The recipe .......
*singing* morning wood makes me feel fine-ine...... damn I forgot the words	lol Good morning then lol
They say you cant turn a bad gurl good cuz when a good gurl turns bad shes gone forever. Now I gotta live wit the fact I	did her wrong f ...
Changing lanes the opps tryna catch me im ghost on they	ass lmao over turnt tonight
"Pro 40:9 I have preached righteousness in the great congregation: lo, I have not refrained my"	"lips, O LORD, thou knowest."
Yhu can call me ugly ' & i still wouldnt give af ' cause that	a be dumb af !
Ok so this morning I was fine but I don't feel good at	all I hate being sick.
I'm really trying to make an AU game before the season is over. UGA hopefully cause I can't	afford no damn iron bowl
I saw them by bridge street last night. 6 buses. And I	hope it ain't too ugly
Jameis Winston is the man on Florida St campus. I highly doubt he has to rape any bitch. That white bitch want money	2 pay off student loans
naw fuck bama. Baylor need to lose and I don't know why Oregon	is still even up there
Father God Bless you to thank you for your Prayers and We	Love you all in JesusChristName.
Hate when I come to break n I don't have a missed text phone	call FaceTime or nothin smh
Bitch Calling Niggas There Brothers & Cousins After They G Her Out	Smh!!! Shit Bitches Say Lmao
Even Tho I Had Yo Gotti - I Am Album Weeks Before It Came Out... Just Got Finish Listening To	It & It's A Classic!!!!!
"BCU 29 FAMU 10. The FAMU Marching 100 is back, but they couldn't handle"	the BCU Wildcat Marching Band.
"thoroughly enjoyed the Tribute. We remember her fondly though we were not supposed to hear, we"	did. Who will be next?
This shit crazy feelin for hope for speedy recovery! I know he	goin to take his time!
Niggas out here crack me up when they wit there chick! They try to let u know that they 2gether by grabin there	ass & shit like that!
That LITTLE UGLY GIRL HOTT IMA LET HER THINK SHE DID SOMETHING SHE ANIT DO SHIT HER MAN BEGGIN ME TO STOP SO ILL	DO ..I GUESS SHE SICK
I don't wanna go out tonight but it's a celebration that I don't	"think I sure miss """
"School & basketball wit my son takes all my time I need a home cooked meal """	"what happened to u cooking??"""
They only good on the grill!! I Luv turkey burgers n	"I want one now """
My next bitch will not smoke iont even smoke so why would I want	yo stank breath ass to
"My mom has about 10 sores on her body, from head to toe, some of them so severe, that her doctor estimates it would"	take a year/more to heal
Ijust asked my baby y she putting all that grease in her baby hair she Tom bout cuz im finna let it	grow smh grown lil lady
I really want to apologize to cuz that's wrong for me to come out my mouth and say big wild	shit like that to her
Vic fuckin my old bitch nunu she acting like she didn't fuck him bitch that's my Brova u think	he not gonna tell me
Look out for the first episode of the Verse One Show as early as	the first week of December.
My dream last night - was at my house and rocked my daughter	to sleep. Trying to interpret?
Thanks for small flat rate priority boxes. I'll remember to use one if I ever	ship a $.99 VHS tape
dept of Commerce and insurance is a great advocate for Tennessean consumers and businesses.	Glad she is in TN!
Watchin Eminem on BET and let m tell u this dude speaks his mind no matter what!! He gone give u the real all the	time!! Luv this dude here!
"It's really damn cold at this game, but watching the Niners pick one off"	has me feeling pretty good.
Lovin my daughter n her lovin me back is da greatest love of all.dats	all da love I need!
"Lonely days I can deal wIt bt lonely nights ain't wat I want...smh..I don't wait fa love,it wait upon me. Don't"	"rush feelings,I wait to feel"
"Omg without makeup Yall bitches are beasts,even so Yall goes look like Homer Da Clown! Fuckin return of Da"	living dead Kmsl ..just saying*
She Might Of been there from The Beginning But it Only matters who gone	be there at the end
"Holiness is not through worship, meditation ,or sacrifices. It's through focus on"	our responsibility toward other people.
"don't talk or listen. They observe and if it interests them then they pay attention."""	Wow this is really me!
Gonna be great her and my southern cousin think he gonna see his florida	piece lol pray for him
2 be clear NO Illinois Bruhz won any step show in Illinois in 20	years before 07 did it....
I wanna thank and Nashli for setting me and my ace out to 03. Yall was making sure	and we appreciate it! LBVFS
I love where my life is going. I got my eye on everyone.	Everyone has a fair chance
dats cuz he naturally a fat boy...mogs don't even notice I swap out profile pix	over last 6 years lol
My bro said pray for my exs sad one said she gonna deal wit a new caliber dudes aka gold digger lol	must be a southern thing
2 all the single chicks dat don't need a man and taking they xmas tree out to	the alley this wkend lol
I'm happy is shit. Dem new SHOES that just came out bout to	"be on my feet!!-fck yea,,,"
I been talking this ignant (but true) shit for over 15 years...but NOW its hitting home one 30s	come into picture...imma chill tho
Yes I'm a bears fan. If after 9 years Frazier is not making the playoffs consistently they yea	he probably will be fired.
I think 2morrow imma tweet in opposite all day....say the exact opposite of what I'm thinking at	the moment. Who wit me?
LOL yea its rough. Just relax and know ppl are trying their best and that means a lot. Plus arent u	planning the all girl day?
"yea C's need to think about the future, they are not winning with"	the team they have now.
I could preach a whole sermon on mogs dat look at immediate needs and	neva long term...but yea nvm
This nigga just folded chicken up .....he a beast and cant	be stop .....they gotta foul
This girl said I got her in the friend zone.... naw bitch its the I ain't	fuckin wit yo ass zone
Gimme a Gangsta Hoe one that Don't Give a Fuck and	that a Shank the Hoe!
Why Do Hood Barbers cut the best but neva on time? Its like they KNOW u not	gonna fuck with anyone else...
"Just when u think that things are making a turn 4the worst, God shows you that he has bigger n"	better things planned 4 u.
Aye I'm thinking about doing crossfit cuz I'm sick of seeing non hoopers	representation in dem classes lol
Man I just wanted to make me some cheese eggs n grits and it turn into breakfast	for the whole fam Smdh
Really gonna use this deepfryer and try out this Jerk DeepFried Chicken Recipe	I got in my head...
We took Nyla to the doggie park Saturday. She had a ball! Making	friends like they're human lol
Tierra better be glad she's having a bad day lol bc I was	just about to fire her
2 every Aux Member of a D9 that wish they could celebrate with DST but chose to have	1 letter and a Symbol.
ion trust naan bitch round my man she gotta be his sister cuzn mama or aunt cuz I	"don't mind being rude !"""
This chinese restaurant slow cooks these pigeons to perfection...makes me feel like	this realy chicken and beef.
How they going act when I finish this 2nd one? Or	when I get that Phd?
"2 all the club promoters that wanna capture the ""greek"" market but neva went to school 2"	understand how it get intune
Travis wants to go to a Nets game in BK. Thinking that might be a	fun day trip megabus action!
The amount of liquor I drunk last nite was ungodly...But I didn't have a lick of	a hangover...Thank you Patron God.
On New years i was right by my aunt house . I shouldve went	to see && Raquel .
When u have 1 of the Best Defenses in the league u always give ya self a chance	to make noise in Playoffs
online identity theft is nothing new...most times the owner of the	pix never find out. Ever.
let me find out bitches on twitter talking shit bout something that happen last year	. kill yourself hoe .
we got Kcups in my office...and I'm not a coffee drinker but I know	this makes us fancy lol
"Must be nice, Having someone who trusts you despite what they've heard, Someone as mighty as a lion but still"	as gentle as a bluebird.
Just cursed out my lil bros for not picking up they phones that EYE brought	dem...fuckt hey think they are?!
"Ive Got. . 2Tickets To PARADISE . . . , Wo Wo Wo Woo"	.. Wooo Wooo Wooo .
From the look of my I see hardly no one works 2day...and I neva	had this day off before.
if your point is that i dont hold you to the same	standards as my self...your correct.
I'll try tomorrow. This flu has been kicking my ass for a week now.	I need a nurse! Lol!
maaaaan dat would be the ultimate Kiss my ass move...but MIA	can't afford him AT ALL...
yeah...just would help if I didn't have Ebola! Lol! Don't want to be the outbreak monkey at work. Think	that's how I got sick.
I'm not a PTO user unless I have some fun shit to do...I go	in no matter the weather
"Nicki no dag on well she didn't wanna say yes , but she was like I mind as well cause"	she goin get through anyway
and when I couple the fact that I'm now paying back (paid for	it) I feel nausea lol
"This btch stupid af on this movie , I wanna jump through the screen"	& smack her ass -_-
"Lil Buddy looking for Connects..I aint got any for him...all I got is same ole ""work hard as shit over time and if"	"they don't pay ya BOUNCE"""
"Kickin doors, shouting, shooting. Police called, came quick, not quick enuf. Thugs return, police called,"	back in seconds! 3 ARRESTED.
It aint Fuck dude...but more so I don't understand the process of Mentoring...why I gotta tell u	what u need to do?
And AYE! Stop using my fucking Govt Name on here! That's	Twice in 10 mins! Lol
About to call it a night and catch sum zzz tired and my princess not sleepy at all	please cum get yo child
This jazz right now>>>>>>So soothingit just takes my mind off of shit	that I be thinking about
Sitting On My Bed Bored AF >>>>> Wishing My Future Was Heraaa :)	", But He Not -_-"
"I also went on ""swimming dates"" by saying I was going"	to pool who wit me?!
U right! I did lie! aint makin it to NFC champ game. Not	if def playin this way!
Only if they lose by 3. If they win by 7 then will be all about his guts. Better to do it	early in game than late.
"yea but I can't see 11 months making it, NOW u need extra check to make it tho...and I"	know bout that poor life
Profound understanding. is like the incredible hulk.. take me at my best or	"meet me at my worst."""
All dat education and still having to suck dick in the back of the Dating	Game has to be humbling...
Sideline security guard back prolly broken after such a clean hit. Somebody about to	cash in on disability soon!
Ppl watching downtown has to be some of the funniest shit	u can do down here.
"Sideline hate? The more dominant the Falcons are early, the more likely I think they will lose. And I"	"want them to win ."""
Hey I'm wondering how Brady getting fined for nearly kicking a hole thru Reed? Had no	prob getting Suh tho huh?
Aye I insulted ur height as a man...I need a rebuttal	for my pls and thanks
Technology is the ultimate Can be so simple yet complex. Everytime you think you figured it out	there is more to learn.
"I figga if u can bring ya self to even do some hoe acts, your far"	gone. Eg GangBang by Hoopsquad
#Sagittarius & have a connection that is out of this world. When they fall in love there is	no falling out of it.
U niggaz make it HARD for me to leave the crib! Especially after a good work	out dat got me sore...
"He talking bout she must be a cover up, why is he"	with her.. I was ctfu
"the min his team miss 3 open shots dat he pass up for the team,"	ak kobe will be back
"I forgot the best one was ""Forever Boy"".:-) :-) :-) :-)"	:-) :-) :-) :-) <3
"I maybe petty, but I count the mins I work and stay scheming"	on 35 hours work weeks...
". Who Is My Momma To Tell Me How To Get My Hair , I Told Her She Gt Ha"	"Own Head , She Bold!"
"I wonder how many dudes getting called up to ""Boo"" status not knowing they being"	used to Valentine Day Dates...ONLY!
we actually had a great time and was served by a nonflamboyant homosexual...patron	shots only 8 bucks 2!
"The Lord is good, a refuge in times of trouble. He cares for those who trust"	in him - Nahum 1:7
"Its cute that yall have been together for so long, but it doesn't mean"	anything if you weren't faithful
God will keep sending the same ppl across your path until u learn the lesson u are	meant to learn from them.
"Asking somebody to do something instead of telling them, and saying thank"	you makes all the difference
Today is my last day drinking pop and cuttin back on drinking	alcohol.! My kidneys are bad.!
this is Olivia & I am in NOLA & Tunein is not connecting-Let	"me in, let me in."
When I tell Halston my plans for next few months his expression	is going to be this
this would be the biggest swerve in wrestling history. You working with the shield.	Them destroying punk and heyman.
"Duh its called drowning, tell me shit I don't no Bitch. You can die"	"from drinking too much water."""
u guys r so CORNY! Ha get it. Cause the dogs	nickname is.. Ahh fuck it.
Wat y'all see us spending we can afford to do it Cus we ain't	bring it all wit us
merchhhh u can . Awee nd go talk to dhat lil bitch	dat wanna fuck widdchuu !!!
That Weird Feeling When You Got Headphones In Yo Ear And	You Think Somebody Calling You
U THINK IM PLAYING IM DONEEE ! ON STONEE IM NOT FENNA KEEP	ARGUIN WIDDCHO BITCHESS BOAA !
"Right, Ran Script With A Straight Face To The Po Po...That Devil Punany"	Turnt Him The Fuk Out...
Fuck That You Win Some And Lose Some And This Time Shid I Lost	The Love Of My Life
Ik y she mad nd I hate it. I wish it was a way I cld save her. I hate	hoes dat make her mad.
"These bitches love Sosa. Man, who the fuck is Sosa??? And what is a cobra? Is that"	the same as a choppa?
They say Dick Clark Has a Rockin New Tears Eve but I know that Greater	Harvest is ROCKIN right now!!!!
I really don't care who u kno. I'm just telling u what u look like	(sorry if I sound rude)
I keep telling you my answer but you don't listen I don't think it registers to you but if you don't want	me around fine.....always told you
You and Phadera should sit down and talk you were very good friends don't let money or a tape or	the fakes come in between.
That's a text I'm not looking forward to one of my former students lost his battle with a rare muscle disease	today! Condolences to his Fam!
im done with dealing with a nigga that aint mines like that chapter	"of my life ova """
And the final reason you know God IS KEEPING YOU IS BECAUSE	YOU WOKE UP THIS MORNING!
"And I'm Hitting Ya Dame,MatterFact That's Ya Main,MatterFact I Never Fucked, She"	Just Gave Me Some Brain
My bitch said boy u got a shoe fetish u ain't got 2 buy	em cause they come out
Quiz posted for next week it's not due until Saturday at midnight I'm an over achiever I'm doing it right	now at the bar lol
If u hustle still got 2 have a 9 2 5 keep them laws off ur	ass and them thirsty hoes
"Congrats , you will be a beautiful bride! I still need to get to atl for a visit. Im going to"	do better in 13 lol.
However i dated someone who would never let me pay but he was very possessive so i agree you	benefit more by offering sometimes
I need 2 put my dam case on my phone iPone	like a new born :-(
"but it will all work out in your favor in the end , if they really are your friends! Just focus"	on you being a beautiful
Nigga you say you wanna take a ride! Get in! I grew up on the	other side! Gettin it in!
awwwwww i wish and would love to. I so need to. I was so scared. After that wreck it effected	my road tripping. Miss u
"I still got endless bottle of trashy peach Amsterdam left..lol"" yess u had endless"	bottles left I'm ova dere
dang homie. I want to be like you when i grow up lol. What trouble	yall get into in atl?
"remember Mer soccer game "" yea I used to be mad ass shit out"	there ya was too wild
"Let the Truth be Told! ..hope u enjoyed the first episode"" it was great. Im glad"	you coming into your own
Torn my acl in my back my back fried tryin lift	a rack of clothes smh
Haha MY MAN! Big Dante what's good wit it send me those	"videos lol""need ur number again"
"that's good to hear but jus hit me whenever I got the same number"""	awe look at this lmao
"Money running from me thtz why im on dat paper chase, you betta hope he dnt run to you idgaf ima catch ah case some of"	of yu niggas rap like
"Heavy d eating the chicken right out the grease ctfu , talkin bout u did dat lmao"" that shit burnt the"	root of my mouf smfh
And fly niggas come third cause he might aint gt no money but he can still pull da	baddest bitch in da building
u let Lil Wayne hit u mind ass well let me hit for 1200	wen I get my taxes
YA BITCHES GOIN IN THE NAIL SALON LOOKIN LIKE SHEEPS COME	OUT LOOKIN LIKE GOATS LMFAO
People Be Like I Kan Draw!!!!WTF This A Damn Stick Figure....Response: Best One	Ever....Me: Shiiidd...Response: Nigga Fuck You
need a lockout corner josh Wilson be lunchin they cheated for you doe I locked boy up and the ball went	pass his head I died
"Sometimes i wish i had never met you, so when i lay in bed at night i wouldn't have"	anything to be sad about.
"THIS CHIEF KEEF CD MITE BE THE CD OF THE CENTURY I SWEAR!!!""future mixtape better"	"lls"" NAW CHEIF KEEF VOICE"
so that's funny.... so u tryin to front on twitter? Lmao.... dnt deny	ur love for me bofl
"We gettin old as shit smh lls I remember when was 9 like yesterday"" wen we"	ain't have no worries lls
"I used to be like you in Highschool, emotional, hyper, sexually"	"confused ""I'm not sexually confused!"""
"Yaw dnt understand my struggle, I was a tall kid, I was sold"	"dreams"" u was doe smh"
my computer was acting crazy and wouldn't play it but I'll listen to it	before I leave for work
raven dat would ben yo last fight girl idk wat type of bitch u think i am but	bby im far from scared
thats y he came bk but lol he loved u more lol n no boo now that wr togetha he aint inbox or tweet no body	lol u mad he left
"Rotflmmfao Kd screaming "" Do Yo Dance On My Dick Ooo Baby I Love It!! "" Lol My Momma """	"Kd stfu "" Dying Laughing!!!"
My classes for this semester all seem to have A-potential. I	just have to keep focus.
"lol mane nun trippin of theze hoez OG she said she'll fuck my nigga to mak me mad, dats wat i wnt"	her dumass to do anyway
"Oh my gosh, yes! The rain and cold weather has kept"	me from the band room.
"Lord help us. Well if so, it won't be in my room. I"	like silence while I'm sleeping.
I HAD TO QUIT SMOKING WEED A NIGGA WASNT GETTING NO HIGHER AND I DONE BEEN HIGHER THAN HIGH	BELIEVE THAT..LMAO OVERDOSE STYLE :-)
I swear I hate stuck up people like they act like they	better then everybody else smfh
Im talkin to my friend about the whole situation and he	makin me feel better =)
I'm off work!!!! Yessss and I got a friend coming to visit AND	off tomorrow!! WHERE THE HOES??
"Don't judge me. You can't handle half of what I've dealt with. There's a reason I do the things I do, there's a reason"	"I am who I am."""
Had to change my avi cause I had a bottle in my hand..I	don't even drink no more..
Funny how people only pray and go to church during hard times and	stop when it's all good
Can't wait to get off...5 o'clock cmon me and my homie getting us sum good food and good drank	and talk sum shit lol
I was thankful for all the cuz I feel more smiles	in 2k13 bigger and wider
What's the deal: Alicia Keys sing the National Anthem and Beyonce soon the half time show. My	tv will be on mute
"This is the end of wk 4, so you should have $10 saved. Next"	"wk, you will save $5"
I'm the newest member of the clothing brand... 2k13 stay tune.... Dropping crews next	week.. Check out to preView
"man you a lie...I aint seen you since July 6, 2011...so"	I kno u flexin lol
", l miss you likee everyday wannaa be w. But your away, l miss you missinn you insanee but if I got w. You"	would it feel samee samee
"I'm giving what's giving to me, either my All or you"	just another face in the
", by mysidee i swallow my pridee your lovee is completee it knockss me ritee off of my feet ? can't explain why your"	lovee it makess me weak
PSA: ion got Shiz to do w/ nothing that don't concern the well being of	never been the talking type
Tf ' &&& if itss on my pagee you mustaa been twatchinn me hard clappinn your gumss bout somethinn l said	it aint in my tweetss
"War, Prejudice, Molesters, Liver-n-Onions, Nuclear Weapons, Parents Fighting, Taking Naps &"	The very thought of death:(
"Who wants to go out to eat wit me??? My treat! "" TUH PUH now"	can't pass up the 99
"I saw you on WW TODAY, you one classy lady. Congrats for making the Ebony cover,"	that is a beautiful cover.
Up watching NBA TV... This nigga Isaih is boring as hell. He need to stick to coaching or being	a GM or some shit...
It must be hard for chics they know when they deserve better but can?t tell when he just trifling	or just needs some space
"Muthafuckas must be smokin, dat la la la or crack, 45 gun smoke choke off dat, lets get back to the music"	I ain't with all that
that's how I felt when u asked me how I spent a whole 50$ of	ya money in Greek village
Maybe one day ill post one of my written works show y?all the more intellectual side	n just my ratchet one
Ok so got Catfished... He asked the girl to come see	him after several phone conversations
man so much behind it though long story we talk tomorrow but felt like I was letting my	sorrows go on them weights
Chics wanna go to the club get sloppy drunk have random make out session then wake up in the AM like they	want a relationship with u
lol I went 2 days without it ordered a new card same day I went out drunk n felt it in my boot when	I was walking lol lol
aye KID idk who house u be at sitting all over their	furniture and shit lol lol
cats really gotta run a mile at the gym take off drinks lots	of water just to survive
This lil boy in the salon just hit me so I	clipped him and he cried
wassup it dnt matter and wat type of setup the video gon be in	or u dnt kno yet
I have a lot on my mind about wat is in store for me this year n in the future. Never	been hyped up like this.
Happy Founders Day to all lovely ladies of Alpha Kappa Alpha Sorority Inc. Hope y'all have	a great day of celebration.
The fact I have the chills and almost fainted is crazy. I really must be a lil	sick or ain't liking me
If a woman got on a matching Bra and Panty set on when she take off her clothes she knew she	was gone let you hit
We as ppl should spend less time hating on the successful and more time trying to figure out what	they did to get ahead
This lil ninja just said I'm so disappointed mommy .... hands	on head and everything lol
Since U Left Me Make Sure U Don't Come Back Nomore	I'm tried of waiting !!!
My baby doesn't feel good so that means no rest for	mommy...pray she feels better soon
My daughter is spazzing out over not being able to have candy all day. Lets me know	I made the right decision.
i cant relate to dis shyt doe.. i dont know how to	make cocaine.. idk a cuban...
Niggas dnt understand stop tryna be bout that life cuz being about that	life can get u 6feet
"when guys say dumb shit to get attention on Twitter, can we just call"	it a ? Yay? Nay?
Hoq do u stop five black men from rapin a white	woman? Throw them ah basketball
so I'm at this juke joint and they played the song when Darius	and Nina were Chicago stepping.
"Thundercats"" I'm so lost on the $200 date origin, I'm not sure if you're"	spewing truth or sarcasm lol
NIGGAZ KNW THEY CAN FRONT DATS Y I WAKE UP SAY MY PRAYERS N B LIKE	FUCK A NIGGA IM 3hunna
I'm bout sue the shit outta TLC for this dum ass show... Wtf is a professional	Mourner wtf wtf wtf smh
It's actually a knock on those who do it knowing they aren't.	"But yes, I'm happy now"
Oh my god these bitches in here talkin bout hair.... Wish they stfu	& do sum dam wrk
This morning in Sir Alex Ferguson's room** Wife: wake up its already 7. Ferguson:	wat? they scored anothere one.
"I'm not a cocky nigga, but I jus be feelin like no one"	can really fuck wit me
"Either Im losing my mind or ppl outchea be choosing significant others that look like their uncle, father,"	mother or sister. Kinda creepy.
"But I'm an Aquarius, so it's in our nature to wanna be"	alone most of the time
"aye real shit, Matt Schaub is not a accurate QB in my"	opinion. Just watch this game
dis ur homie SIX still streamin k104 all da every da frm D M I Crooked Letter Crooked Letter can i get a s/o	pla T James my Gold
That moment wen u take a pic of yaself and actually see wat females be	talkin bout.... I aint conceited.
& u stuck up chicks wonder why the so called ugly & or fat girls getting all the good men its cause they don't	expect man to do everything
"When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to"	make his shot more difficult.
Too much salt will kill you! Guess that's why these haters keep throwing it on me lol I never leave the house	w/out my salt proof vest
"Yo, I cant believe this chick really just acted crazy like that. And came up"	wit some false bogus shit....
"i dont know much about the career paths to get to the top in Law, but if its been your dream, stick"	wit it and Go Hard.
"i cant tell u much right now homie bc Kobe & KD playin, but u gotta be encouraged and determined."	Great success doesnt come easy.
Que: where yo frat card? it's on layaway I didn't pay	all my pledge fees yet
stroll??? Ain't that the shit they use to write on back in the day??	Naw I don't do that
